row_no,mandator,provider_id,customer_id,syndicate_id,star1,star2,num_combi,n1,n2,n3,n4,n5,drawtype,drawdate,stake,currency,gametype
1,JXC,JXC103629231,2125151,,7,9,1~5~9~11~28,1,5,9,11,28,TU,01.01.2019,2.00,EUR,EUMI
2,JXC,JXC103706873,1576011,,7,11,9~17~20~37~45,9,17,20,37,45,TU,01.01.2019,2.00,EUR,EUMI
3,JXC,JXC103841432,1792375,,2,9,4~15~23~24~46,4,15,23,24,46,TU,01.01.2019,2.00,EUR,EUMI
4,JXC,JXC103841432,1792375,,10,12,10~17~38~41~44,10,17,38,41,44,TU,01.01.2019,2.00,EUR,EUMI
5,JXC,JXC103846871,1792375,,4,11,3~16~22~25~45,3,16,22,25,45,TU,01.01.2019,2.00,EUR,EUMI
6,JXC,JXC103846871,1792375,,3,9,11~16~39~40~45,11,16,39,40,45,TU,01.01.2019,2.00,EUR,EUMI
7,JXC,JXC104007921,572717,,4,9,4~9~18~29~49,4,9,18,29,49,TU,01.01.2019,2.00,EUR,EUMI
8,JXC,JXC104007921,572717,,3,5,4~9~18~29~49,4,9,18,29,49,TU,01.01.2019,2.00,EUR,EUMI
9,JXC,JXC104200326,598561,,6,8,6~12~14~28~50,6,12,14,28,50,TU,01.01.2019,2.00,EUR,EUMI
10,JXC,JXC104202094,1811296,,6,11,11~19~22~32~45,11,19,22,32,45,TU,01.01.2019,2.00,EUR,EUMI
11,JXC,JXC104342161,143566,,8,12,21~36~40~43~48,21,36,40,43,48,TU,01.01.2019,2.00,EUR,EUMI
12,JXC,JXC104342161,143566,,1,3,6~13~17~43~44,6,13,17,43,44,TU,01.01.2019,2.00,EUR,EUMI
13,JXC,JXC104383211,1814390,,2,8,2~5~6~10~28,2,5,6,10,28,TU,01.01.2019,2.00,EUR,EUMI
14,JXC,JXC104391008,1325082,,5,7,6~8~27~40~43,6,8,27,40,43,TU,01.01.2019,2.00,EUR,EUMI
15,JXC,JXC104677340,1372444,,3,8,5~9~23~36~39,5,9,23,36,39,TU,01.01.2019,2.00,EUR,EUMI
16,JXC,JXC104683087,178754,,8,9,18~21~32~33~44,18,21,32,33,44,TU,01.01.2019,2.00,EUR,EUMI
17,JXC,JXC104683087,178754,,2,12,1~10~11~17~44,1,10,11,17,44,TU,01.01.2019,2.00,EUR,EUMI
18,JXC,JXC104683087,178754,,3,11,2~9~27~36~45,2,9,27,36,45,TU,01.01.2019,2.00,EUR,EUMI
19,JXC,JXC104683087,178754,,7,10,14~22~33~37~40,14,22,33,37,40,TU,01.01.2019,2.00,EUR,EUMI
